"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"01089","Alabama","Redstone Arsenal","Army","35898","34.690118, -86.650127","Huntsville",1,"Yes",588,475,210,340,365,120,"8","2106","YES","YES","YES","YES","Madison County, Alabama",852,c(1221790.58582227, -1047104.36265348)
"18097","Indiana","(C2) Fort Benjamin Harrison","Army","46216","39.868455, -86.019655","Indianapolis",14,"Yes",426,341,230,290,214,51,"2","1554","NO","NO","NO","NO","Marion County, Indiana",845,c(1190208.78323942, -469335.712484211)
"18097","Indiana","DFAS Indianapolis Center","DOD","46226","39.853688, -86.014538","Indianapolis",14,"Yes",149,101,85,59,45,8,"3","450","NO","NO","NO","NO","Marion County, Indiana",845,c(1190902.12056374, -470884.781486577)
"37049","North Carolina","Cherry Point Naval Aviation","Navy","28533","34.904339, -76.887089","Moorehead City",20,"Yes",411,208,136,103,70,22,"1","951","NO","NO","NO","NO","Craven County, North Carolina",844,c(2087896.60802727, -832179.667001144)
"47157","Tennessee","Naval Support Activity Mid-South","Navy","38053","35.337229, -89.878294","Memphis",22,"Yes",676,460,265,322,241,50,"0","2014","YES","YES","YES","YES","Shelby County, Tennessee",836,c(920615.181876261, -1016747.8345225)
"28059","Mississippi","Pascagoula NAVSTA","Navy","39595","30.336758, -88.576686","Mobile, AL",30,"Yes",644,388,240,210,140,31,"0","1653","NO","NO","NO","NO","Jackson County, Mississippi",806,c(1103295.59456549, -1550554.0514345)
"06025","California","El Centro NAF","Navy","92243","32.811478, -115.672400","El Centro",7,"Yes",248,124,61,65,48,5,"0","551","YES","YES","YES","YES","Imperial County, California",788,c(-1465589.38812711, -1216200.38372757)
"04027","Arizona","Yuma Proving Ground","Army","85365","33.017918, -114.254171","Yuma",30,"Yes",140,96,67,74,62,11,"1","451","YES","YES","YES","YES","Yuma County, Arizona",763,c(-1331190.77160575, -1216827.54951723)
"55081","Wisconsin","Fort McCoy","Army","54656","44.024771, -90.685924","La Crosse",43,"Yes",290,229,148,180,182,42,"1","1072","YES","YES","YES","YES","Monroe County, Wisconsin",760,c(744749.629364261, -65796.653317761)
"01097","Alabama","Navmarcorescen Mobile","Navy","36603","30.702664, -88.154908","Mobile",3,"Yes",567,412,283,242,122,25,"2","1653","NO","NO","NO","NO","Mobile County, Alabama",739,c(1138978.27411713, -1505021.85928421)
"48273","Texas","Kingsville NAS","Navy","78363","27.494947, -97.819176","Corpus Christi",50,"Yes",321,188,120,77,67,7,"0","780","YES","YES","YES","YES","Kleberg County, Texas",735,c(217970.777498401, -1932554.90853609)
"35013","New Mexico","White Sands Missile Range","Army","88002","32.966657, -106.388293","El Paso, TX",45,"Yes",426,235,195,111,64,18,"0","1049","YES","YES","YES","YES","Doña Ana County, New Mexico",726,c(-599673.245078021, -1311252.91073789)
"48465","Texas","Laughlin AFB","Air Force","78843","29.357828, -100.785227","Del Rio",6,"Yes",1388,595,358,193,101,18,"2","2655","NO","NO","YES","NO","Val Verde County, Texas",717,c(-76900.7632431551, -1730540.83982937)
"17161","Illinois","Rock Island Arsenal","Army","61201","41.517632, -90.546033","Davenport, IA",4,"Yes",371,266,140,205,226,72,"11","1291","NO","YES","YES","YES","Rock Island County, Illinois",707,c(787343.584652064, -341653.883437696)
"28035","Mississippi","Camp Shelby","Air Force","39407","31.198664, -89.191285","Hattiesburg",10,"Yes",393,289,196,260,225,62,"7","1432","NO","NO","NO","NO","Forrest County, Mississippi",692,c(1034077.11930593, -1463696.67324488)
"40047","Oklahoma","Vance AFB","Air Force","73705","36.339291, -97.913168","Oklahoma City",90,"Yes",1349,515,370,168,91,17,"2","2512","YES","YES","YES","NO","Garfield County, Oklahoma",637,c(187862.124952959, -958591.648164386)
"28087","Mississippi","Columbus AFB","Air Force","39710","33.644172, -88.454308","Columbus",10,"Yes",1520,634,394,238,111,24,"3","2924","YES","YES","YES","YES","Lowndes County, Mississippi",636,c(1072111.91613649, -1186258.52086798)
"28075","Mississippi","Meridian NAS","Navy","39309","32.555893, -88.554927","Meridian",15,"Yes",1126,269,198,125,77,11,"o","1806","YES","YES","YES","YES","Lauderdale County, Mississippi",630,c(1077105.33938245, -1307000.85674712)
"13095","Georgia","Albany MCLB","Marine Corps","31704","31.550719, -84.064083","Albany",3,"Yes",318,205,135,144,98,17,"2","889","YES","YES","NO","YES","Dougherty County, Georgia",625,c(1512601.49630674, -1349329.80419399)
"40065","Oklahoma","Altus AFB","Air Force","73523","34.652599, -99.286598","Oklahoma City",120,"Yes",1350,647,542,311,193,26,"1","3070","YES","YES","YES","YES","Jackson County, Oklahoma",602,c(65687.511811513, -1147163.13446727)
