"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"27053","Minnesota","Fort Snelling","Army","55111","44.894991, -93.199064","Minneapolis",0,"Yes",262,181,156,123,67,10,"0","799","NO","NO","NO","NO","Hennepin County, Minnesota",1268,c(536456.781937689, 10785.9458748102)
"51041","Virginia","Richmond Defense Depot","Army","23297","37.424562, -77.449493","Richmond",0,"Yes",303,186,139,136,80,18,"2","864","YES","YES","NO","YES","Chesterfield County, Virginia",1266,c(1970338.27769924, -573185.135461199)
"04013","Arizona","Luke AFB","Air Force","85309","33.541146, -112.375364","Pheonix",20,"No",4607,2165,1625,1136,672,71,"20","10296","YES","YES","YES","NO","Maricopa County, Arizona",1251,c(-1149910.26510106, -1186767.29671917)
"12057","Florida","Macdill AFB","Air Force","33621","27.852078, -82.507260","Tampa",5,"No",5705,3502,2208,2129,1774,403,"45","15766","YES","YES","YES","YES","Hillsborough County, Florida",1250,c(1727781.71881147, -1723015.57313863)
"45019","South Carolina","Charleston AFB","Air Force","29404","32.89684, -80.05224","Charleston",10,"No",3727,1879,1258,858,472,78,"11","8283","YES","YES","YES","YES","Charleston County, South Carolina",1246,c(1855546.73798167, -1123632.09361522)
"45015","South Carolina","Navy Weapons Station, Charleston","Navy","29445","32.958290, -79.936793","Charleston",25,"Yes",632,335,210,204,116,19,"3","1519","YES","YES","YES","YES","Berkeley County, South Carolina",1239,c(1864634.76722497, -1114432.31207037)
"45015","South Carolina","(C3) Charleston
NAVSTA","Navy","29408","32.958290, -79.936793","Charleston",0,"Yes",176,121,95,93,46,8,"1","540","YES","YES","YES","YES","Berkeley County, South Carolina",1239,c(1864634.76722497, -1114432.31207037)
"45015","South Carolina","NV Weapons Station Charleston","Navy","29445","32.958290, -79.936793","Charleston",21,"No",6855,2176,1345,746,349,45,"5","11521","YES","YES","YES","YES","Berkeley County, South Carolina",1239,c(1864634.76722497, -1114432.31207037)
"51550","Virginia","NSA Northwest Annex","Navy","23322","36.567848, -76.248337","Chesapeake",0,"Yes",866,434,322,271,154,28,"2","2087","YES","YES","NO","NO","Chesapeake city, Virginia",1236,c(2096592.80099188, -636485.661333812)
"02090","Alaska","Eielson AFB","Air Force","99702","64.674166, -147.029604","Fairbanks",26,"Yes",1958,973,646,489,287,23,"6","4832","YES","YES","YES","YES","Fairbanks North Star Borough, Alaska",1228,c(-1471267.08963554, -1874733.48924126)
"02090","Alaska","Fort Jonathan Wainwright","Army","99703","64.840820, -147.610442","Fairbanks",1,"No",6117,2863,2008,1215,754,117,"38","13112","YES","YES","YES","YES","Fairbanks North Star Borough, Alaska",1228,c(-1485853.14766751, -1867822.03756255)
"32003","Nevada","Nellis AFB","Air Force","89191","36.239979, -115.054563","Las Vegas",8,"No",10168,4461,3250,2307,1474,236,"41","21937","YES","YES","YES","YES","Clark County, Nevada",1222,c(-1348053.92440248, -851209.510446249)
"13053","Georgia","Fort Benning","Army","31905","32.351651, -84.969199","Columbus",5,"No",24305,8236,5993,4717,2895,557,"82","46785","NO","NO","NO","NO","Chattahoochee County, Georgia",1197,c(1414281.46319821, -1277264.26600749)
"12091","Florida","Hurlburt Field","Air Force","32544","30.417722, -86.692328","Pensacola",35,"No",8185,3968,2826,2163,1368,238,"34","18782","YES","YES","YES","YES","Okaloosa County, Florida",1179,c(1282478.76128926, -1515737.67814053)
"12091","Florida","Eglin AFB","Air Force","32542","30.462056, -86.551794","Pensacola",40,"No",9243,4759,3498,2630,1612,261,"33","22036","YES","YES","YES","YES","Okaloosa County, Florida",1179,c(1295236.82554354, -1508796.96522868)
"51099","Virginia","NAVSURFWEAPCEN
Dahlgren","Navy","22448","38.326820, -77.037444","Fredericksburg",23,"Yes",688,330,211,196,134,24,"0","1583","YES","YES","YES","YES","King George County, Virginia",1174,c(1979676.33982014, -465777.960461149)
"51099","Maryland","(C4) White Oak NSWC Dahlgren","Navy","20903","38.333775, -77.040005","Washington D.C.",5,"Yes",532,285,184,154,125,31,"8","1319","YES","YES","YES","YES","King George County, Virginia",1174,c(1979264.37412747, -465087.160235918)
"12113","Florida","Whiting Field NAS","Navy","32570","30.714295, -87.018116","Pensacola",30,"Yes",1145,458,263,167,110,20,"4","2167","YES","YES","NO","YES","Santa Rosa County, Florida",1173,c(1247155.33137278, -1488063.47977603)
"48439","Texas","NAS JRB Fort Worth","Navy","76127","32.768604, -97.433553","Fort Worth",0,"Yes",934,514,334,297,197,30,"0","2306","YES","YES","YES","YES","Tarrant County, Texas",1169,c(241774.065944663, -1351824.7119966)
"12009","Florida","Patrick AFB","Air Force","32925","28.235950, -80.606181","Orlando",45,"Yes",1733,935,599,534,419,59,"4","4283","NO","YES","NO","YES","Brevard County, Florida",1166,c(1904173.16095544, -1641758.20272676)
"06051","California","USMC Mountain Warfare Training","Marine Corps","93517","38.357869, -119.513997","Sacramento",100,"Yes",251,142,109,60,29,2,"0","593","NO","NO","YES","YES","Mono County, California",1119,c(-1688970.12901506, -538665.569895255)
"12031","Florida","Jacksonville NAS","Navy","32212","30.220222, -81.685840","Jacksonville",9,"No",6967,3590,2460,1873,1311,252,"13","16466","YES","YES","YES","YES","Duval County, Florida",1108,c(1761260.43129066, -1449107.36479054)
"12031","Florida","Blount Island","Marine Corps","32226","30.398777, -81.533959","Jacksonville",0,"Yes",133,85,63,47,41,11,"0","380","NO","NO","NO","NO","Duval County, Florida",1108,c(1771997.72934429, -1426581.39829897)
"12031","Florida","Mayport NAVSTA","Navy","32228","30.388042, -81.408410","Jacksonville",10,"No",10442,5426,3685,2980,2078,385,"17","25013","YES","YES","YES","YES","Duval County, Florida",1108,c(1784035.17377449, -1425160.00507771)
"12005","Florida","Tyndall AFB","Air Force","32403","30.081332, -85.612716","Panama City",12,"Yes",1633,792,507,433,294,55,"8","3722","NO","YES","YES","YES","Bay County, Florida",1105,c(1390662.6258067, -1535831.47780386)
